2025-05-07 10:18:23,218 INFO    MainThread:72875 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_setup.py:_flush():67] Configure stats pid to 72875
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_setup.py:_flush():67] Loading settings from /root/.config/wandb/settings
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_setup.py:_flush():67] Loading settings from /workspace/hide_lyf/DPOjudge/wandb/settings
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /workspace/hide_lyf/DPOjudge/wandb/run-20250507_101823-zsigr679/logs/debug.log
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /workspace/hide_lyf/DPOjudge/wandb/run-20250507_101823-zsigr679/logs/debug-internal.log
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_init.py:init():781] calling init triggers
2025-05-07 10:18:23,219 INFO    MainThread:72875 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-07 10:18:23,220 INFO    MainThread:72875 [wandb_init.py:init():809] starting backend
2025-05-07 10:18:23,220 INFO    MainThread:72875 [wandb_init.py:init():813] sending inform_init request
2025-05-07 10:18:23,228 INFO    MainThread:72875 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-07 10:18:23,228 INFO    MainThread:72875 [wandb_init.py:init():823] backend started and connected
2025-05-07 10:18:23,230 INFO    MainThread:72875 [wandb_init.py:init():915] updated telemetry
2025-05-07 10:18:23,231 INFO    MainThread:72875 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-05-07 10:18:24,463 INFO    MainThread:72875 [wandb_init.py:init():1014] starting run threads in backend
2025-05-07 10:18:24,756 INFO    MainThread:72875 [wandb_run.py:_console_start():2454] atexit reg
2025-05-07 10:18:24,756 INFO    MainThread:72875 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-05-07 10:18:24,757 INFO    MainThread:72875 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-05-07 10:18:24,757 INFO    MainThread:72875 [wandb_run.py:_redirect():2394] Redirects installed.
2025-05-07 10:18:24,760 INFO    MainThread:72875 [wandb_init.py:init():1056] run started, returning control to user process
2025-05-07 10:18:25,083 INFO    MsgRouterThr:72875 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
